unixtime,lat,lon,depth,sci_water_temp
1370530254.25809, 44.534030000000001, -63.393878333300002, 0.083147499999999999, 0.0
1370530355.41907, 44.534115, -63.393787304973607, 0.79591684226945247, 0.0
1370530416.23221, 44.534238606222544, -63.39393293837054, 4.3112462371670102, 9.0907
1370530620.40247, 44.533788224224502, -63.393564070834394, 38.666863442968072, 0.0
1370530681.4415, 44.533653577385195, -63.393453793673935, 34.513875660512575, 3.3461
1370530742.2388, 44.533519463780848, -63.39334395323845, 25.014983891599616, 3.8327
1370530802.37628, 44.533386805682731, -63.393235304877692, 16.012906763391015, 4.561
1370530863.38712, 44.533252221027901, -63.393125078646968, 7.4561360083913684, 7.8735
1370530924.34824, 44.533117746051218, -63.393014942243781, 1.5124172661925932, 8.5417
1370530984.70169, 44.532984611541806, -63.392905903697226, 0.026494864961933016, 9.2214
1370531045.39243, 44.533068643057447, -63.392814380585108, 0.1212075315620556, 9.2649
1370531231.35141, 44.533351012728872, -63.39261076649543, 0.7420264607920628, 9.2521
1370531291.78391, 44.533432349986839, -63.392553923290258, 0.72672154520251442, 9.24
1370531352.96957, 44.533521637292033, -63.392481959182291, 0.52107985258400358, 9.24
1370531413.76233, 44.533611162142265, -63.392409797278987, 0.010351586565729798, 9.1961
1370531474.2514, 44.533681922540886, -63.392350403072307, 0.051469188506305233, 9.2113
1370531535.29431, 44.533771981233279, -63.392273018766716, 0.093834100000000004, 9.221
1370531595.33609, 44.533848928881483, -63.392205912624426, 0.10649959436500391, 9.2234
1370531655.6626, 44.533938396765024, -63.392141603234975, 0.227883, 9.2536
1370531716.41678, 44.534029826930706, -63.392078858957383, 0.227883, 9.2269
1370531776.7973, 44.534114565825753, -63.392017014037314, 0.227883, 9.2807
1370531837.75381, 44.534205323819307, -63.391934162557071, 1.364281338289435, 9.2813
1370531898.59793, 44.534298010577047, -63.391885261156119, 3.5450751165684964, 9.2767
1370532128.55948, 44.533814221248811, -63.391518971779931, 37.272379387799248, 0.0
1370532189.56186, 44.533675484977408, -63.39141955223603, 33.18879076567989, 3.3318
1370532249.68866, 44.533538740017612, -63.391321559682268, 23.954225353438108, 3.8956
1370532310.70486, 44.533399972315863, -63.391222117615115, 14.984319431815367, 4.6988
1370532370.8125, 44.533263270930739, -63.391124156287312, 6.8894157056701015, 7.9717
1370532431.69031, 44.53312481796624, -63.391024939763447, 6.0719477133554491, 8.0912
1370532640.30588, 44.532650368505664, -63.390684945409411, 39.735822339669895, 0.0
1370532700.4686, 44.53251354185354, -63.390586894314261, 34.353725609654546, 3.3344
1370532760.71542, 44.532376523934751, -63.390488706155857, 25.216095802037284, 3.8518
1370532820.85352, 44.532239753275434, -63.390390695185609, 16.561638662719574, 4.7764
1370532881.53015, 44.532101757849816, -63.390291806537832, 8.4377497196786777, 7.8979
1370532942.58984, 44.531962891239935, -63.390192293592314, 5.8664886964545504, 8.1054
1370533174.43695, 44.531435606837078, -63.389814437287605, 39.575430913046084, 0.0
1370533235.2963, 44.531297195855799, -63.389715250849257, 35.396714463014398, 3.3268
1370533296.26016, 44.531158547189747, -63.389615894084059, 26.158413290247324, 3.8609
1370533356.40778, 44.531021754879198, -63.389517867598357, 17.354957722499638, 4.2367
1370533416.50406, 44.530885079329693, -63.389419924784576, 9.1107221234643898, 7.1504
1370533476.80508, 44.530747938145275, -63.389321648293013, 5.4984022942015125, 8.0529
1370533721.75833, 44.530190846757648, -63.388922432059857, 41.710193965744701, 0.0
1370533781.8653, 44.530054146896731, -63.388824471824314, 36.765401935766548, 3.3207
1370533842.59576, 44.529916029046476, -63.388725495446053, 27.716763298541093, 3.795
1370533902.74033, 44.529779243672678, -63.38862747393128, 19.193065657262377, 4.2138
1370533963.74237, 44.529640508175035, -63.388528054941858, 10.812358664564304, 5.4908
1370534024.10092, 44.529503236151122, -63.388429684689655, 5.1201136854852418, 8.0439
1370534085.06528, 44.529364586348017, -63.388330327109628, 9.8225310068633007, 8.019
1370534295.67307, 44.528885606028744, -63.387987085905294, 41.467400660739592, 0.0
1370534356.17581, 44.528748006076761, -63.387888480657153, 37.325425755145986, 2.8666
1370534416.29346, 44.528611281926658, -63.387790503015786, 28.389015662947784, 3.8563
1370534476.33612, 44.528474728324078, -63.387692647590164, 19.574650250703183, 4.243
1370534536.45132, 44.52833800974539, -63.387594673941315, 11.224047430446817, 5.4169
1370534597.24316, 44.52819975230026, -63.387495597528222, 5.8133325158667004, 8.0124
1370534657.3978, 44.528062944024299, -63.387397559601574, 8.9916922522308234, 8.0008
1370534878.07349, 44.527561066518139, -63.387037910086313, 45.389733025058227, 0.0
1370534938.10269, 44.527424543527133, -63.386940076597199, 37.52623988688633, 3.0154
1370534998.80222, 44.527286496020352, -63.386841150627639, 28.496099285309572, 3.7568
1370535058.84995, 44.527149930887255, -63.386743286939151, 19.896741264525556, 3.5298
1370535118.98618, 44.527013164480643, -63.386645279016427, 11.347480140877687, 5.1999
1370535179.09155, 44.526876468258088, -63.386547321388164, 3.6945024068327248, 7.9537
1370535239.88214, 44.526738213656408, -63.386448247012716, 9.7975975262746093, 7.9576
1370535451.88477, 44.526256061085491, -63.386102732546966, 41.713858864212099, 0.0
1370535512.246, 44.526118782966378, -63.386004357926886, 36.572958482128186, 3.1723
1370535573.26422, 44.525980010670857, -63.385904912567803, 27.320287159114194, 3.4556
1370535633.97263, 44.525841942968725, -63.385805972126093, 18.349705148191564, 4.2581
1370535694.19534, 44.525704979882917, -63.385707823261448, 9.8191433853446295, 5.4351
